ID,Nome,Assunto,Número de resoluções,Nível,Link
1022,TDA Racional,Números racionais,9.957,4,https://www.beecrowd.com.br/judge/pt/problems/view/1022
1023,Estiagem,"Sort, Counting Sort, Ad Hoc",4.496,10,https://www.beecrowd.com.br/judge/pt/problems/view/1023
1025,Onde está o Mármore?,"Busca Binária, Sort",9.453,8,https://www.beecrowd.com.br/judge/pt/problems/view/1025
1062,Trilhos,Pilha,6.144,5,https://www.beecrowd.com.br/judge/pt/problems/view/1062
1063,Trilhos Novamente... Traçando Movimentos,Pilha,3.159,4,https://www.beecrowd.com.br/judge/pt/problems/view/1063
1068,Balanço de Parênteses I,Pilha,16.174,5,https://www.beecrowd.com.br/judge/pt/problems/view/1068
1069,Diamantes e Areia,Pilha,15.398,3,https://www.beecrowd.com.br/judge/pt/problems/view/1069
1077,Infixa para Posfixa,Pilha,3.348,5,https://www.beecrowd.com.br/judge/pt/problems/view/1077
1083,LEXSIM - Avaliador Lexico e Sintático,Pilha,692,7,https://www.beecrowd.com.br/judge/pt/problems/view/1083
1088,Bolhas e Baldes,"Sort, Mergesort, Contagem de Inversões",4.059,6,https://www.beecrowd.com.br/judge/pt/problems/view/1088
1110,Jogando Cartas Fora,Fila,13.166,3,https://www.beecrowd.com.br/judge/pt/problems/view/1110
1112,Schweisen,Fenwick Tree 2D (BIT 2D),860,9,https://www.beecrowd.com.br/judge/pt/problems/view/1112
1119,A Fila de Desempregados,"Lista, Simulação, Ad Hoc",2.157,4,https://www.beecrowd.com.br/judge/pt/problems/view/1119
1162,Organizador de Vagões,"Sort, Contagem de trocas, Mergesort",5.410,5,https://www.beecrowd.com.br/judge/pt/problems/view/1162
1167,Acampamento de Férias,"Lista, Simulação, Ad Hoc, ",1.973,5,https://www.beecrowd.com.br/judge/pt/problems/view/1167
1211,Lista Telefônica Econômica,"Estruturas, Ordenação",3.494,5,https://www.beecrowd.com.br/judge/pt/problems/view/1211
1215,Primeiro Dicionário de Andy,"Ordenação, Arvore Binaria, Busca Infixa, String",2.461,6,https://www.beecrowd.com.br/judge/pt/problems/view/1215
1236,Compactação de Nulos e Brancos,Compactação,688,8,https://www.beecrowd.com.br/judge/pt/problems/view/1236
1242,Ácido Ribonucleico Alienígena,"Pilha, String",1.477,4,https://www.beecrowd.com.br/judge/pt/problems/view/1242
1244,Ordenação por Tamanho,"Sort com Estrutura, String",8.011,4,https://www.beecrowd.com.br/judge/pt/problems/view/1244
1251,Diga-me a Frequência,"Sort com estrutura, String, Contagem de frequência",3.249,6,https://www.beecrowd.com.br/judge/pt/problems/view/1251
1252,Sort! Sort!! e Sort!!!,"Sort (opcional utilizando estrutura), Sort STL",2.903,7,https://www.beecrowd.com.br/judge/pt/problems/view/1252
1256,Tabelas Hash,Hashing,5.113,3,https://www.beecrowd.com.br/judge/pt/problems/view/1256
1258,Camisetas,Sort com estrutura,3.947,4,https://www.beecrowd.com.br/judge/pt/problems/view/1258
1259,Pares e Ímpares,Sort,12.245,3,https://www.beecrowd.com.br/judge/pt/problems/view/1259
1260,Espécies de Madeira,"Mapas, STL Maps",3.176,5,https://www.beecrowd.com.br/judge/pt/problems/view/1260
1261,Pontos de Feno,"Mapas, STL Maps",2.998,2,https://www.beecrowd.com.br/judge/pt/problems/view/1261
1274,P-Networks,Ad Hoc,167,5,https://www.beecrowd.com.br/judge/pt/problems/view/1274
1281,Ida à Feira,"Mapas, STL Maps",7.025,3,https://www.beecrowd.com.br/judge/pt/problems/view/1281
1301,Produto do Intervalo,Árvore de Segmentos,1.687,6,https://www.beecrowd.com.br/judge/pt/problems/view/1301
1303,Spurs Rocks,Sort com Estrutura,1.860,9,https://www.beecrowd.com.br/judge/pt/problems/view/1303
1326,Química,Desconhecido,324,9,https://www.beecrowd.com.br/judge/pt/problems/view/1326
1340,Eu Posso Adivinhar a Estrutura de Dados!,"Pilha, Fila, Fila com Prioridade",4.109,2,https://www.beecrowd.com.br/judge/pt/problems/view/1340
1356,Júpiter Ataca!,Ad Hoc,229,7,https://www.beecrowd.com.br/judge/pt/problems/view/1356
1382,"Elementar, meu Caro Watson!",Desconhecido,961,6,https://www.beecrowd.com.br/judge/pt/problems/view/1382
1388,Onde Estão as Bolhas?,Ordenação,231,10,https://www.beecrowd.com.br/judge/pt/problems/view/1388
1401,Gerando Permutações Ordenadas Rapidamente,"Ordenação, Permutações (next_permutation)",1.703,4,https://www.beecrowd.com.br/judge/pt/problems/view/1401
1405,O Problema da Parada,Desconhecido,118,10,https://www.beecrowd.com.br/judge/pt/problems/view/1405
1424,Problema Fácil de Rujia Liu?,"Estrutura, Mapas",2.111,8,https://www.beecrowd.com.br/judge/pt/problems/view/1424
1425,Presente?!,Fila,730,8,https://www.beecrowd.com.br/judge/pt/problems/view/1425
1430,Composição de Jingles,"Mapas, STL Mapas",3.905,2,https://www.beecrowd.com.br/judge/pt/problems/view/1430
1439,Bora Bora,"Implementação, Simulação",249,8,https://www.beecrowd.com.br/judge/pt/problems/view/1439
1449,O Fantástico Jaspion,"Mapas, STL Maps",1.398,3,https://www.beecrowd.com.br/judge/pt/problems/view/1449
1451,Teclado Quebrado,"Lista (STL List), Ad Hoc",2.355,6,https://www.beecrowd.com.br/judge/pt/problems/view/1451
1452,Gloud Computing,"Mapas, STL Maps, Ad Hoc",733,2,https://www.beecrowd.com.br/judge/pt/problems/view/1452
1477,"Homem, Elefante e Rato","Árvore de Segmentos, ""Lazy Prop.""",906,8,https://www.beecrowd.com.br/judge/pt/problems/view/1477
1500,Consultas Horríveis,"Árvore de Segmentos, Lazy Propagation",1.385,8,https://www.beecrowd.com.br/judge/pt/problems/view/1500
1507,Subsequências,Busca Binária,2.526,7,https://www.beecrowd.com.br/judge/pt/problems/view/1507
1511,Tabuleiro GCD,Árvore de Segmentos 2D,166,10,https://www.beecrowd.com.br/judge/pt/problems/view/1511
1520,Parafusos e Porcas,"Busca Binária, União de Intervalos",2.514,6,https://www.beecrowd.com.br/judge/pt/problems/view/1520
1523,Estacionamento Linear,"Ad-hoc, Pilha",2.358,5,https://www.beecrowd.com.br/judge/pt/problems/view/1523
1527,Guildas,Union-Set,1.279,6,https://www.beecrowd.com.br/judge/pt/problems/view/1527
1535,Números Casal-Solteirão-Solteirona,String,119,10,https://www.beecrowd.com.br/judge/pt/problems/view/1535
1538,Sequência Alienígena,String,418,5,https://www.beecrowd.com.br/judge/pt/problems/view/1538
