ID,Nome,Assunto,Número de resoluções,Nível,Link
1027,Onda Crítica,DP (LIS),790,9,https://www.beecrowd.com.br/judge/pt/problems/view/1027
1029,"Fibonacci, Quantas Chamadas?",Recursividade,14.156,4,https://www.beecrowd.com.br/judge/pt/problems/view/1029
1033,Quantas Chamadas Recursivas?,"Relações recorrentes, números de fibonacci",977,6,https://www.beecrowd.com.br/judge/pt/problems/view/1033
1034,Festival de Estátuas de Gelo,"PD, Gulosos",3.431,8,https://www.beecrowd.com.br/judge/pt/problems/view/1034
1054,Sapo Dinâmico,"Algoritmos Gulosos, Sort",847,7,https://www.beecrowd.com.br/judge/pt/problems/view/1054
1055,Soma Permutada Elegante,"Algoritmos Gulosos, Sort, Matemática Simples",823,7,https://www.beecrowd.com.br/judge/pt/problems/view/1055
1058,Zonas de Ataque Independentes,Programação Dinâmica (DP),183,8,https://www.beecrowd.com.br/judge/pt/problems/view/1058
1084,Apagando e Ganhando,"Greedy, Ad-Hoc",2.755,8,https://www.beecrowd.com.br/judge/pt/problems/view/1084
1106,Dragster,"PD, Matemática, Probabilidade, Árvores, Grafos",228,7,https://www.beecrowd.com.br/judge/pt/problems/view/1106
1166,"Torre de Hanoi, Novamente!",Programação Dinâmica,1.417,2,https://www.beecrowd.com.br/judge/pt/problems/view/1166
1203,Pontes de São Petersburgo,Programação Dinâmica,1.288,7,https://www.beecrowd.com.br/judge/pt/problems/view/1203
1210,Produção Ótima de Ótima Vodka,Programação Dinâmica,692,5,https://www.beecrowd.com.br/judge/pt/problems/view/1210
1224,Cartões,DP,993,8,https://www.beecrowd.com.br/judge/pt/problems/view/1224
1226,Elevador Espacial,Combinatória,407,8,https://www.beecrowd.com.br/judge/pt/problems/view/1226
1229,Combate ao Câncer,Árvore,408,7,https://www.beecrowd.com.br/judge/pt/problems/view/1229
1231,Palavras,Autômatos Finitos,195,7,https://www.beecrowd.com.br/judge/pt/problems/view/1231
1265,DJ da Computação,Programação Dinâmica,270,6,https://www.beecrowd.com.br/judge/pt/problems/view/1265
1269,ICPC Ataca Novamente,"Programação Dinâmica, DFS, Sort",121,7,https://www.beecrowd.com.br/judge/pt/problems/view/1269
1282,Organizando Pacotes,"PD, DAG (Grafos acíclicos dirigidos)",257,7,https://www.beecrowd.com.br/judge/pt/problems/view/1282
1283,Caixas e Pedras,Desconhecido,97,5,https://www.beecrowd.com.br/judge/pt/problems/view/1283
1286,Motoboy,Algoritmo da Mochila 0-1,3.699,5,https://www.beecrowd.com.br/judge/pt/problems/view/1286
1288,Canhão de Destruição,Algoritimo da Mochila 0-1,2.632,5,https://www.beecrowd.com.br/judge/pt/problems/view/1288
1299,Jogo de Mosaicos,Desconhecido,109,7,https://www.beecrowd.com.br/judge/pt/problems/view/1299
1310,Lucro,"Subsequência Máxima Contígua, PD",4.032,4,https://www.beecrowd.com.br/judge/pt/problems/view/1310
1312,Empilhamento de Bolas,Programação Dinâmica,767,6,https://www.beecrowd.com.br/judge/pt/problems/view/1312
1319,Garota Hiperativa,PD,159,9,https://www.beecrowd.com.br/judge/pt/problems/view/1319
1325,Mapas Bolha,Desconhecido,125,4,https://www.beecrowd.com.br/judge/pt/problems/view/1325
1350,Esta Sentença é Falsa,"PD, DFS",82,6,https://www.beecrowd.com.br/judge/pt/problems/view/1350
1354,"Um Quadrado Grande, Por Favor",Backtracking,20,5,https://www.beecrowd.com.br/judge/pt/problems/view/1354
1365,Procurando Assentos,PD,313,7,https://www.beecrowd.com.br/judge/pt/problems/view/1365
1372,Doces,PD,571,5,https://www.beecrowd.com.br/judge/pt/problems/view/1372
1395,Números e Operações,Backtracking,20,5,https://www.beecrowd.com.br/judge/pt/problems/view/1395
1396,Hoje tem Prova da Cris!,"Guloso, Ordenação",219,6,https://www.beecrowd.com.br/judge/pt/problems/view/1396
1408,Mário,PD,431,7,https://www.beecrowd.com.br/judge/pt/problems/view/1408
1412,Cadeado com Segredo,"DP, guloso",124,9,https://www.beecrowd.com.br/judge/pt/problems/view/1412
1416,Placar do ICPC,Desconhecido,122,9,https://www.beecrowd.com.br/judge/pt/problems/view/1416
1432,Strings Binárias Triple-Free,"Backtracking, Bit Manipulations",141,7,https://www.beecrowd.com.br/judge/pt/problems/view/1432
1473,Linhas de Contêiners,Desconhecido,364,7,https://www.beecrowd.com.br/judge/pt/problems/view/1473
1474,Ônibus,"Recorrência, PD",608,7,https://www.beecrowd.com.br/judge/pt/problems/view/1474
1475,Remendo,Programação Dinâmica,520,4,https://www.beecrowd.com.br/judge/pt/problems/view/1475
1485,Roleta Turca,Desconhecido,321,8,https://www.beecrowd.com.br/judge/pt/problems/view/1485
1487,Six Flags,"Knapsack, PD, BFS",1.750,4,https://www.beecrowd.com.br/judge/pt/problems/view/1487
1493,Abastecimento de Água Disjunto,Desconhecido,242,7,https://www.beecrowd.com.br/judge/pt/problems/view/1493
1494,Onze,PD,171,9,https://www.beecrowd.com.br/judge/pt/problems/view/1494
1509,Contando Ambiguidades,Programação Dinâmica,58,10,https://www.beecrowd.com.br/judge/pt/problems/view/1509
1510,O Passeio Turístico,-,18,5,https://www.beecrowd.com.br/judge/pt/problems/view/1510
1513,Cavalo,"BFS, Caixeiro Viajante, PD",369,9,https://www.beecrowd.com.br/judge/pt/problems/view/1513
1517,Maçãs,Programação Dinâmica,770,8,https://www.beecrowd.com.br/judge/pt/problems/view/1517
1522,Jogo das Pilhas,Programação dinâmica,806,8,https://www.beecrowd.com.br/judge/pt/problems/view/1522
1524,Fila do Bandejão,Algoritmo Guloso,911,4,https://www.beecrowd.com.br/judge/pt/problems/view/1524
1543,Quadro Premiado,Programação Dinâmica,234,7,https://www.beecrowd.com.br/judge/pt/problems/view/1543
1545,Cartões II,Programação Dinâmica,259,9,https://www.beecrowd.com.br/judge/pt/problems/view/1545
1565,Ligue os Pontos,Programação dinâmica,43,10,https://www.beecrowd.com.br/judge/pt/problems/view/1565
1579,Transporte de Painéis Solares,"Busca Binária, STL",539,5,https://www.beecrowd.com.br/judge/pt/problems/view/1579
1590,Cuarenta e Dois,"Força bruta, Guloso",536,8,https://www.beecrowd.com.br/judge/pt/problems/view/1590
1595,Humm.. Andar ou Correr.. Eis a Questão,-,761,6,https://www.beecrowd.com.br/judge/pt/problems/view/1595
1596,Torneio de Yusuf II,-,1,5,https://www.beecrowd.com.br/judge/pt/problems/view/1596
1597,Desmascarando o Empregado do Sultão,-,24,5,https://www.beecrowd.com.br/judge/pt/problems/view/1597
1598,O Verdadeiro Valor dos Tapetes,-,17,5,https://www.beecrowd.com.br/judge/pt/problems/view/1598
1599,Picos do Átlas,-,390,6,https://www.beecrowd.com.br/judge/pt/problems/view/1599
1600,O Gato do Zelador do Armazém,-,75,9,https://www.beecrowd.com.br/judge/pt/problems/view/1600
1601,Partição do Rebanho,-,41,10,https://www.beecrowd.com.br/judge/pt/problems/view/1601
1602,Hiperprimos,-,767,8,https://www.beecrowd.com.br/judge/pt/problems/view/1602
1603,Canais de Qanat,-,10,5,https://www.beecrowd.com.br/judge/pt/problems/view/1603
1604,Pair-voting no Conselho de Gueliz,-,51,7,https://www.beecrowd.com.br/judge/pt/problems/view/1604
1605,Montando Sua Própria Cáfila,-,20,5,https://www.beecrowd.com.br/judge/pt/problems/view/1605
1606,As Dicas de Ali Babá,-,379,6,https://www.beecrowd.com.br/judge/pt/problems/view/1606
1608,Bolos da Maria,-,1.118,1,https://www.beecrowd.com.br/judge/pt/problems/view/1608
1611,Elevador Lotado,-,796,4,https://www.beecrowd.com.br/judge/pt/problems/view/1611
1614,Ajude o Turista,-,155,7,https://www.beecrowd.com.br/judge/pt/problems/view/1614
1616,Baile de Formatura,Programação Dinâmica,358,6,https://www.beecrowd.com.br/judge/pt/problems/view/1616
1636,Permutações Antimonotônicas Cíclicas,Programação Dinâmica,167,6,https://www.beecrowd.com.br/judge/pt/problems/view/1636
1637,Codificação Gamma de Elias,Algoritmo Guloso,36,4,https://www.beecrowd.com.br/judge/pt/problems/view/1637
1642,Teclado Quebrado,Varredura com Contadores,404,6,https://www.beecrowd.com.br/judge/pt/problems/view/1642
