ID,Nome,Assunto,Número de resoluções,Nível,Link
1028,Figurinhas,"MDC (GCD), Recursividade",16.160,3,https://www.beecrowd.com.br/judge/pt/problems/view/1028
1093,Vampiros,"Matemática, Estatística, Probabilidade",2.079,3,https://www.beecrowd.com.br/judge/pt/problems/view/1093
1138,Contagem de Dígitos,Ad Hoc,1.143,8,https://www.beecrowd.com.br/judge/pt/problems/view/1138
1161,Soma de Fatoriais,"Matemática, fatorial",19.020,5,https://www.beecrowd.com.br/judge/pt/problems/view/1161
1163,Angry Ducks,Matemática,1.439,7,https://www.beecrowd.com.br/judge/pt/problems/view/1163
1169,Trigo no Tabuleiro,Simple Math,7.554,4,https://www.beecrowd.com.br/judge/pt/problems/view/1169
1170,Blobs,Simple Math,12.740,3,https://www.beecrowd.com.br/judge/pt/problems/view/1170
1193,Conversão entre Bases,"Matemática, Ad Hoc, Conversão simples",4.024,3,https://www.beecrowd.com.br/judge/pt/problems/view/1193
1197,Volta à Faculdade de Física,"Física, Matemática",10.185,1,https://www.beecrowd.com.br/judge/pt/problems/view/1197
1198,O Bravo Guerreiro Hashmat,Matemática Simples,10.142,5,https://www.beecrowd.com.br/judge/pt/problems/view/1198
1199,Conversão Simples de Base,"Matemática, Ad Hoc, Conversão entre bases",4.401,3,https://www.beecrowd.com.br/judge/pt/problems/view/1199
1202,Festival das Noites Brancas,Math,997,7,https://www.beecrowd.com.br/judge/pt/problems/view/1202
1212,Aritmética Primária,"Matemática, divisão e mod (%)",5.331,8,https://www.beecrowd.com.br/judge/pt/problems/view/1212
1213,Ones,Matemática,2.625,5,https://www.beecrowd.com.br/judge/pt/problems/view/1213
1214,Acima da Média,Matemática,7.505,3,https://www.beecrowd.com.br/judge/pt/problems/view/1214
1219,Flores Coloridas,Triângulos e Círculos,2.355,5,https://www.beecrowd.com.br/judge/pt/problems/view/1219
1220,A Viagem,"Matemática, Ad Hoc",1.074,7,https://www.beecrowd.com.br/judge/pt/problems/view/1220
1221,Primo Rápido,Matemática,11.401,6,https://www.beecrowd.com.br/judge/pt/problems/view/1221
1230,Integral,"Matemática, Integral",70,10,https://www.beecrowd.com.br/judge/pt/problems/view/1230
1232,Ciclo de Rubik,Combinatória,271,7,https://www.beecrowd.com.br/judge/pt/problems/view/1232
1233,Estrela,"Matemática, Teoria dos Números",1.029,6,https://www.beecrowd.com.br/judge/pt/problems/view/1233
1240,Encaixa ou Não I,"Matemática Simples, Divisão e Resto de Divisão",8.425,2,https://www.beecrowd.com.br/judge/pt/problems/view/1240
1247,Guarda Costeira,"Matemática, Ad Hoc",4.284,2,https://www.beecrowd.com.br/judge/pt/problems/view/1247
1264,Um Problema Fácil!,"BigNum, Variação de base",471,7,https://www.beecrowd.com.br/judge/pt/problems/view/1264
1279,Ano Bissexto ou Ano não Bissexto,"BigNum, Aritmética, Ad Hoc, Datas ",2.834,6,https://www.beecrowd.com.br/judge/pt/problems/view/1279
