ID,Nome,Assunto,Número de resoluções,Nível,Link
1053,Desenho Contínuo,"Euler tour, Carteiro chinês, dfs, Floyd-Warshall",82,10,https://www.beecrowd.com.br/judge/pt/problems/view/1053
1056,Fatores e Múltiplos,"Grafo, Grafo Bipartido Máximo",514,9,https://www.beecrowd.com.br/judge/pt/problems/view/1056
1057,Chegando Junto,BFS,421,8,https://www.beecrowd.com.br/judge/pt/problems/view/1057
1076,Desenhando Labirintos,"DFS, Backtracking",4.131,3,https://www.beecrowd.com.br/judge/pt/problems/view/1076
1081,DFSr - Hierarquia de Profundidade,"DFS, backtracking",2.331,5,https://www.beecrowd.com.br/judge/pt/problems/view/1081
1082,Componentes Conexos,"DFS, Backtracking",4.008,5,https://www.beecrowd.com.br/judge/pt/problems/view/1082
1085,Babel,"Teoria dos Grafos, menor caminho, SSSP, Dijkstra.",825,8,https://www.beecrowd.com.br/judge/pt/problems/view/1085
1100,Movimentos do Cavalo,"Teoria dos Grafos, Bellman-Ford ou Floyd-Warshall",2.641,5,https://www.beecrowd.com.br/judge/pt/problems/view/1100
1111,Desrugenstein,All-Pairs Shortest Paths,583,7,https://www.beecrowd.com.br/judge/pt/problems/view/1111
1123,Desvio de Rota,"Grafos, Dijkstra",1.720,4,https://www.beecrowd.com.br/judge/pt/problems/view/1123
1128,Ir e Vir,"Grafos, Tarjan",2.824,4,https://www.beecrowd.com.br/judge/pt/problems/view/1128
1135,Colônia de Formigas,Grafos,1.208,8,https://www.beecrowd.com.br/judge/pt/problems/view/1135
1148,Países em Guerra,"Grafos, Dijkstra",4.322,5,https://www.beecrowd.com.br/judge/pt/problems/view/1148
1152,Estradas Escuras,"Grafos, MST, Kruskal",5.118,5,https://www.beecrowd.com.br/judge/pt/problems/view/1152
1191,Recuperação da Árvore,"Árvore binária, recursividade",2.386,5,https://www.beecrowd.com.br/judge/pt/problems/view/1191
1194,"Prefixa, Infixa e Posfixa","Árvores binárias, pre, in, posfixa",1.780,3,https://www.beecrowd.com.br/judge/pt/problems/view/1194
1195,Árvore Binária de Busca,"Árvores binárias de busca, percursos",4.761,5,https://www.beecrowd.com.br/judge/pt/problems/view/1195
1200,Operações em ABP I,Árvore Binária de Busca (pesquisa),2.194,4,https://www.beecrowd.com.br/judge/pt/problems/view/1200
