ID,Nome,Assunto,Número de resoluções,Nível,Link
1026,Carrega ou não Carrega?,xor,16.312,5,https://www.beecrowd.com.br/judge/pt/problems/view/1026
1030,A Lenda de Flavious Josephus,"Ad hoc, simulação, Josephus, recursividade",9.622,4,https://www.beecrowd.com.br/judge/pt/problems/view/1030
1031,Crise de Energia,"Ad hoc, simulação, Josephus, recursividade",4.082,4,https://www.beecrowd.com.br/judge/pt/problems/view/1031
1032,O Primo de Josephus,"Ad hoc, simulação, Josephus, primos, sieve",2.590,6,https://www.beecrowd.com.br/judge/pt/problems/view/1032
1086,O Salão do Clube,"Ad hoc, Algoritmos Gulosos, Matemática simples",1.315,7,https://www.beecrowd.com.br/judge/pt/problems/view/1086
1087,Dama,Ad hoc,14.422,4,https://www.beecrowd.com.br/judge/pt/problems/view/1087
1089,Loop Musical,Ad hoc,7.618,2,https://www.beecrowd.com.br/judge/pt/problems/view/1089
1090,Set,Ad hoc,147,10,https://www.beecrowd.com.br/judge/pt/problems/view/1090
1091,Divisão da Nlogônia,Ad hoc,8.517,1,https://www.beecrowd.com.br/judge/pt/problems/view/1091
1092,Maior Subseqüência Crescente,Ad hoc,242,9,https://www.beecrowd.com.br/judge/pt/problems/view/1092
1103,Alarme Despertador,Ad hoc,15.106,4,https://www.beecrowd.com.br/judge/pt/problems/view/1103
1104,Troca de Cartas,"Ad hoc, Intersecção de Conjuntos",4.506,4,https://www.beecrowd.com.br/judge/pt/problems/view/1104
1105,Sub-prime,"Ad hoc, Simulação",3.994,5,https://www.beecrowd.com.br/judge/pt/problems/view/1105
1107,Escultura à Laser,Ad hoc,2.713,4,https://www.beecrowd.com.br/judge/pt/problems/view/1107
1109,Burlando a Maratona,"RegEx, NFA, DFA",80,10,https://www.beecrowd.com.br/judge/pt/problems/view/1109
1121,Robô Colecionador,Ad hoc,2.302,4,https://www.beecrowd.com.br/judge/pt/problems/view/1121
1122,Livro-Caixa,Ad hoc,676,7,https://www.beecrowd.com.br/judge/pt/problems/view/1122
1125,Fórmula 1,Ad hoc,1.830,3,https://www.beecrowd.com.br/judge/pt/problems/view/1125
1127,Plágio Musical,Ad hoc,697,8,https://www.beecrowd.com.br/judge/pt/problems/view/1127
1129,Leitura Ótica,Ad hoc,8.063,1,https://www.beecrowd.com.br/judge/pt/problems/view/1129
1130,Jogo da Velha,"Números ""Grundy"", Teoria dos Jogos",239,10,https://www.beecrowd.com.br/judge/pt/problems/view/1130
1136,Bingo!,Ad hoc,2.806,4,https://www.beecrowd.com.br/judge/pt/problems/view/1136
1139,Necessidades Elétricas,Ad hoc,50,10,https://www.beecrowd.com.br/judge/pt/problems/view/1139
1140,Flores Florescem da França,Ad hoc,6.615,4,https://www.beecrowd.com.br/judge/pt/problems/view/1140
1147,Fuga do Cavalo,Ad Hoc,1.159,6,https://www.beecrowd.com.br/judge/pt/problems/view/1147
