ID,Nome,Assunto,Número de resoluções,Nível,Link
2517,Desafio PoGro,"Distância, Busca Ternária",64,6,https://www.beecrowd.com.br/judge/pt/problems/view/2517
2518,Escada do DINF,Distância,1.333,3,https://www.beecrowd.com.br/judge/pt/problems/view/2518
2521,Pergunte à Geógrafa,Conversão de Coordenadas,131,5,https://www.beecrowd.com.br/judge/pt/problems/view/2521
2525,Cacheiro Viajante,Kd-Tree,54,10,https://www.beecrowd.com.br/judge/pt/problems/view/2525
2541,Ingrest,Fecho Convexo,94,8,https://www.beecrowd.com.br/judge/pt/problems/view/2541
2561,Tesouro,Intersecção,77,8,https://www.beecrowd.com.br/judge/pt/problems/view/2561
2640,Missão Improvável,-,25,5,https://www.beecrowd.com.br/judge/pt/problems/view/2640
2665,Hipercampo,-,486,7,https://www.beecrowd.com.br/judge/pt/problems/view/2665
2695,Arrumando Lajotas,-,55,10,https://www.beecrowd.com.br/judge/pt/problems/view/2695
2773,Menor Caminho,Distância de Pontos,192,7,https://www.beecrowd.com.br/judge/pt/problems/view/2773
2840,Balão++,Desconhecido,2.037,2,https://www.beecrowd.com.br/judge/pt/problems/view/2840
2891,Um Problema com Final Feliz,Geometria Computacional,111,6,https://www.beecrowd.com.br/judge/pt/problems/view/2891
3064,Elástico,Desconhecido,44,5,https://www.beecrowd.com.br/judge/pt/problems/view/3064
3081,Órbita,Desconhecido,5,5,https://www.beecrowd.com.br/judge/pt/problems/view/3081
3108,Arremesse os BigOs!,Desconhecido,8,5,https://www.beecrowd.com.br/judge/pt/problems/view/3108
3152,"Samuel, O Cafeicultor",Desconhecido,317,3,https://www.beecrowd.com.br/judge/pt/problems/view/3152
3156,Xadrez Galático,Desconhecido,2,9,https://www.beecrowd.com.br/judge/pt/problems/view/3156
3184,Obtendo Ouro,Desconhecido,134,2,https://www.beecrowd.com.br/judge/pt/problems/view/3184
3213,Parque Infantil,Polygon,10,5,https://www.beecrowd.com.br/judge/pt/problems/view/3213
3260,Robert Hood,Desconhecido,10,4,https://www.beecrowd.com.br/judge/pt/problems/view/3260
3352,"Fuja comigo, Galileu!",Fecho convexo,0,5,https://www.beecrowd.com.br/judge/pt/problems/view/3352
